stop_id;stop_number;stop_name_short;stop_name;ch_x;ch_y
143;2570;BirmSte;Birmensdorf ZH, Sternen/WSL;676869.4127;245976.5153
309;3356;WalBiSt;Waldegg, Birmensdorferstrasse;677378.4069;246869.5147
373;6232;FRAF07;Zürich Flughafen, Fracht;685408.1667;256313.0781
588;3027;FLUG07;Zürich Flughafen, Bahnhof;684880.1788;256096.0787
623;2989;TZEN01;Thalwil, Zentrum;685141.3859;238859.6052
701;1012;GOLP;Zürich, Goldbrunnenplatz;681212.842;247157.061
729;687;UitiDrf;Uitikon, Dorf;676726.3984;247116.5258
751;2758;UNTR07;Glattbrugg, Unterriet;684795.203;254746.5859
809;501;BirmBhf;Birmensdorf ZH, Bahnhof;675550.4361;245605.5035
832;1401;KILB;Kilchberg ZH, Kirche;683390.3914;241366.5952
833;3254;HALL;Kilchberg ZH, Hallenbad;683196.3801;241420.5771
891;1991;WalPost;Waldegg, Post;677355.4084;246861.5236
1010;2160;SCHA;Zürich, Schaufelbergerstrasse;680302.8558;247018.0606
1067;992;GLAG07;Glattbrugg, Zentrum;685037.3057;254244.6947
1114;1627;MEHO;Dübendorf, Meiershofstrasse;688691.7178;250201.1231
1259;1391;BKIL;Kilchberg ZH, Bahnhof;683871.3794;242108.5973
1270;2680;TRIE;Zürich, Triemli;679825.8643;246878.0502
1305;1472;KUNS;Zürich, Kunsthaus;683852.3155;247219.0966
1306;478;BEZI;Zürich, Bezirksgebäude;682094.3257;247590.0559
1308;736;ETHZ;Zürich, ETH/Universitätsspital;683768.2976;247844.071
1309;564;BUCH;Zürich, Bucheggplatz;682623.2968;250299.0541
1310;821;FARB;Zürich, Farbhof;678564.8515;249384.0238
1311;2572;SOER;Zürich, Sternen Oerlikon;683612.252;251600.0646
1312;657;BDIE;Dietikon, Bahnhof;672898.924;251005.9806
1362;1303;IEBN;Zürich, Im Ebnet;683371.7375;253998.5555
1366;2983;ZGLA;Zentrum Glatt;687338.2208;251560.602
1370;2986;ZREG07;Regensdorf, Zentrum;677523.3218;253876.5255
1372;1228;HOFF;Dübendorf, Hoffnung;687674.7219;250113.6221
1377;6506;BABH07;Kloten Balsberg, Bahnhof;685224.19;255148.0801
1378;6507;RBAU07;Rümlang, Bäuler;684405.7085;254405.084
1379;6508;GLIN07;Glattbrugg, Lindberghplatz;684679.2226;253337.5844
1392;3241;WFLO07;Wallisellen, Florastrasse;687436.9496;251856.4479
1393;2329;SURG;Zürich, Schürgistrasse;686120.732;251504.6023
1398;3246;GIEB07;Glattbrugg, Giebeleichstrasse;684854.215;253680.5939
1405;2277;SHDO;Kilchberg ZH,Schulhaus Dorfstr;683836.8806;241815.5847
1406;1278;HOEL;Zürich, Hölderlinstrasse;684927.8068;246716.5865
1407;1457;KREK;Kilchberg ZH, Kreuzstrasse;683646.3644;242172.5963
1417;1542;RLET07;Rümlang, Letten;682695.7315;254768.5573
1437;632;VCHL07;Volketswil, Volkiland Chliriet;692803.6914;248622.1607
1443;1552;LEUT;Zürich, Leutschenbach;683970.2431;252137.5644
1452;994;BGLA07;Glattbrugg, Bahnhof;684552.2231;253908.5907
1454;1156;HEIZ;Zürich, Heizenholz;678882.8247;251798.0272
1456;6346;DSON;Dübendorf, Sonnental;687946.2244;250054.6066
1475;2422;DBRE;Dübendorf, Breitibach;688179.722;250098.1261
1499;1710;NEUB;Zürich, Neubühl;682842.364;243033.5685
1500;2547;BLEI;Zürich, Bahnhof Leimbach;681615.8961;243033.5743
1501;2294;SCHW;Zürich, Schwamendingerplatz;685555.7489;251051.5967
1502;2556;STAU;Zürich, Stauffacher;682377.8249;247508.5582
1503;1389;KIEN;Zürich, Kienastenwies;687810.2926;245575.6229
1504;1643;MIBU;Zürich, Milchbuck;683301.2725;250288.0652
1509;1577;LISP;Kilchberg ZH, Lindt & Sprüngli;684107.384;241507.093
1510;6594;AHOR;Adliswil, Ahornweg;682827.3949;241471.5781
1511;1660;MORG;Zürich, Morgental;682470.8647;244218.086
1517;2751;USNO;Unterengstringen, Sennenbüel N;676274.3552;251903.4948
1518;2580;STOG;Kilchberg ZH, Stockengut;683286.3855;242061.5884
1520;831;FEGG;Urdorf, Feldegg;674711.9123;249510.4994
1521;589;BAEC;Kilchberg ZH, Bächlerstrasse;683216.3826;242618.5981
1522;2767;BWEI;Urdorf Weihermatt, Bahnhof;674861.4225;248166.5167
1523;1595;LAEG;Zürich, Lägernstrasse;682554.7995;250032.0522
1524;3775;BEND;Kilchberg ZH, Bendlikon;684048.7278;241848.2195
1525;2017;RADI;Zürich, Radiostudio;682767.7862;250720.0681
1526;1018;GOBI;Kilchberg ZH, Gottlieb-Binder;683458.8782;241922.0913
1527;948;GEME;Weiningen ZH, Gemeindehaus;674900.3751;252470.4786
1528;1861;PARA;Zürich, Paradeplatz;683110.8202;247134.5783
1530;3796;MYTH;Kilchberg ZH, Mythenstrasse;683308.3691;242290.5796
1531;2124;ROEM;Zürich, Römerhof;684717.806;246944.0784
1532;1215;HIRS;Zürich, Hirschwiesenstrasse;683403.2739;250523.5723
1533;2304;KSCH;Kilchberg ZH, Schwelle;683651.3774;241828.6015
1534;6238;WERE;Zürich, Werd;682190.8392;247426.0578
1535;48;ALBP;Zürich, Albisriederplatz;680894.8376;248038.5497
1536;1227;HOFA01;Adliswil, Hofackerstrasse;682950.5541;241054.4053
1537;2237;SZEN;Schlieren, Zentrum;676154.8786;250098.5043
1538;2239;SLIM;Kilchberg ZH, Schlimbergstr.;683479.3743;242120.5775
1539;2158;SPLA;Zürich, Schaffhauserplatz;683035.7837;249587.5661
1540;6347;SCHB;Schlieren, Bahnhof;676236.8755;250354.4969
1541;412;BPLA;Zürich, Bahnhofplatz/HB;683155.3156;247945.0736
1542;413;BQUA;Zürich, Bahnhofquai/HB;683312.3037;248012.0839
1543;1334;IRCH;Zürich, Universität Irchel;683484.7764;250071.5776
1552;6447;LRAI;Rüschlikon, Loorain;683443.3895;240180.0897
1553;6448;EGGR;Rüschlikon, Eggrain;683609.3953;239887.094
1557;3042;BWIE;Zürich, Bahnhof Wiedikon;681998.3303;247294.0602
1565;440;BELL;Zürich, Bellevue;683579.32;246811.5873
1571;872;FRAN;Zürich, Frankental;678721.8328;251043.0184
1574;799;EWYS;Zürich, Escher-Wyss-Platz;681815.3177;249390.0597
1580;88;ALTR;Zürich, Altried (Zone 10);687014.7262;251197.1056
1581;1176;HRTI07;Wallisellen, Herti;686051.7211;252368.0896
1596;2346;SEEB;Zürich, Seebach;683836.7395;252904.5784
1598;1259;HUNG;Zürich, Hungerbergstrasse;680185.291;252798.0461
1628;99;ARC101;Thalwil, Archstrasse;684955.3875;238954.6006
1638;28;BADL01;Adliswil, Bahnhof;682100.9168;240645.5863
1677;128;AUSS;Zürich, Ausserdorfstrasse;683749.083;253229.7858
1679;2307;BSCH;Schwerzenbach ZH, Bahnhof;692169.1884;248866.6571
1686;641;CRUZ07;Regensdorf, Chrüzächer;678049.3137;253516.5185
1893;3026;ENGE;Zürich, Bahnhof Enge;682561.3359;246506.0702
1895;416;BSTR;Zürich, Bahnhofstrasse/HB;683134.8124;247840.0639
1904;2264;SOKI;Kilchberg ZH, Schoorenstrasse;683984.873;241309.0894
1905;1430;KLUS;Zürich, Klusplatz;685180.7994;246522.5995
1906;1357;KALK;Zürich, Kalkbreite;681751.3322;247628.0623
1907;1612;MANG;Zürich, Manegg;681737.8877;243467.0765
1908;1187;HEUR;Zürich, Heuried;680641.3465;247039.0488
1909;1440;KSPI;Kilchberg ZH, Spital;682900.3946;241799.5756
1911;75;ALHK;Kilchberg ZH, Altersheim;683322.3849;241586.09
1916;3446;ETTE;Zürich, Ettenfeld;684159.2296;253364.5747
1919;3447;BOEO;Zürich, Bahnhof Oerlikon Ost;683631.7631;252043.5696
1920;439;BELA07;Wallisellen, Belair;686482.208;252037.089
1928;6460;ZFER;Zürich, Fernsehstudio;684744.7279;252544.0838
1931;6461;GGLA07;Glattpark;684387.7339;252790.586
1934;1275;SEPL;Zürich, Seebacherplatz;683725.2482;252710.5762
1938;619;CENT;Zürich, Central;683469.3056;247918.0819
1959;3344;DSTA;Dietikon, Stadthaus;672629.9206;250640.9799
2007;1694;NASS;Schlieren, Nassacker;675709.8897;249818.5106
2008;863;FLUP;Dübendorf, Flugplatz;689758.8007;250873.8884
2009;2789;VORB;Bergdietikon, Vorbühl;671464.9543;249177.485
2010;1028;GRIN;Geroldswil, Grindlen;673702.8864;252380.9938
2011;6044;GAAZ;Zollikon, Garage G.-Maurer-Str;685293.3244;244266.6036
2013;6300;SBRE;Spreitenbach, Breiti;669476.9364;253602.9384
2014;6301;FURT;Spreitenbach, Furttalstrasse;669869.4333;253153.9464
2015;6303;SINT;Spreitenbach, Interio;669864.9301;253321.4519
2016;29;AEGU;Unterengstringen, Aegelsee;676012.3626;252057.4921
2018;3798;VORS;Dietikon, Vorstadt;672389.4125;251357.4699
2019;2798;WAGO;Schlieren, Wagonsfabrik;676664.879;250237.5273
2020;1964;OPOS;Oetwil an der Limmat, Post;672143.3979;253449.4635
2021;1039;GRAU;Dietikon, Grünau;672912.4031;251545.9791
2022;2128;ROES;Zürich, Röslistrasse;683192.2979;249229.0653
2023;6055;DEP2;Zürich, Depot 2 Wollishofen;682561.38;243521.5757
2025;3044;BWOL;Zürich, Bhf Wollishofen (Tram);682685.8606;244597.0779
2027;2975;ZELG;Dübendorf, Zelglistrasse;688979.2105;249819.6373
2028;125;AUSW;Weiningen ZH, Ausserdorf;675529.3614;252353.9986
2029;2303;SWAK;Geroldswil, Schweizäcker;672863.8893;252908.9733
2033;2051;REIT;Schlieren, Reitmen;675056.9;250059.9915
2034;2982;ZENT;Geroldswil, Zentrum;673257.8885;252741.9689
2035;2054;RAUG;Zürich, Rennweg;683052.3244;247500.573
2036;2984;OBEE;Oberengstringen, Zentrum;677273.3489;251433.5228
